entityType,canonicalName,aliases,category,priority,notes
organization,MAIRE,Maire Tecnimont; MAIRE S.p.A.,group_company,P0,Parent group; official scope and leadership anchor. Sources: https://www.groupmaire.com/en/ | https://www.groupmaire.com/en/about-us/ | https://www.groupmaire.com/media/filer_public/20/c4/20c48d20-e2c9-4a9c-8f27-ce79ce50921b/202503_-_maire_company_profile_-_fy_2024_results.pdf
organization,Tecnimont,Tecnimont S.p.A.,group_company,P0,Integrated E&C Solutions flagship EPC/execution arm. Sources: https://www.groupmaire.com/en/about-us/ec-solutions/ | https://www.groupmaire.com/en/
organization,NextChem,NEXTCHEM; NextChem Tech; NextChem Holding,group_company,P0,Sustainable Technology Solutions platform. Sources: https://www.groupmaire.com/en/about-us/sustainable-technology-solutions/ | https://www.nextchem.com/en/
organization,Stamicarbon,Stamicarbon B.V.,group_company,P0,Nitrogen/fertilizer licensor within MAIRE. Sources: https://www.stamicarbon.com/ | https://www.nextchem.com/en/solutions/technologies/
organization,KT Kinetics Technology,KT; KT Tech; KTI,group_company,P0,"Process engineering / proprietary equipment, increasingly integrated with NEXTCHEM. Sources: https://www.groupmaire.com/en/about-us/kt-kinetics-technology/ | https://www.groupmaire.com/media/filer_public/20/c4/20c48d20-e2c9-4a9c-8f27-ce79ce50921b/202503_-_maire_company_profile_-_fy_2024_results.pdf"
organization,MET Development,MET Development S.p.A.,group_company,P1,Project development/investment structuring vehicle. Source: https://www.groupmaire.com/en/about-us/met-development/
organization,Tecnimont Services,Tecnimont Services S.p.A.,group_company,P1,Lifecycle / services arm listed among group companies. Source: https://www.groupmaire.com/en/
organization,HyDEP,HyDEP S.r.l.,group_company,P1,Acquired in 2024 to strengthen green hydrogen electrochemistry capabilities. Source: https://www.groupmaire.com/en/about-us/history/
organization,GasConTec,GasConTec GmbH,group_company,P1,Added in 2024; low-carbon hydrogen / ammonia / methanol engineering competence. Source: https://www.groupmaire.com/en/about-us/history/
organization,Conser,Conser S.p.A.,group_company,P1,Acquired to reinforce technology portfolio in fuels/chemicals derivatives. Source: https://www.groupmaire.com/en/about-us/history/
organization,MyReplast Industries,MyReplast; MRI,group_company,P1,Owns NX Replast-based upcycling plant. Source: https://www.nextchem.com/en/about-us/our-companies/
organization,MyRechemical,MyRechemical S.r.l.,group_company,P1,Waste-to-chemical / circularity vehicle referenced in MAIRE history. Source: https://www.groupmaire.com/en/about-us/history/
organization,Technip Energies,T.EN; Technip,competitor,P0,Closest overlap in downstream EPC + LNG/gas treatment + hydrogen/ammonia/decarbonization. Official: https://www.technipenergies.com/
organization,KBR,Kellogg Brown & Root,competitor,P0,"Direct overlap in ammonia, hydrogen, refining/petrochemicals and technology licensing; explicitly requested by user. Official: https://www.kbr.com/"
organization,Worley,Worley Limited,competitor,P0,"Global engineering/services competitor across energy, chemicals and sustainability projects. Official: https://www.worley.com/"
organization,Saipem,Saipem S.p.A.,competitor,P0,Italian peer with large EPC and energy-transition project overlap. Official: https://www.saipem.com/
organization,Wood,John Wood Group; Wood plc,competitor,P1,Engineering competitor in process industries and consulting-led transformation programs. Official: https://www.woodplc.com/
organization,Samsung E&A,"Samsung Engineering; Samsung E&A Co., Ltd.",competitor,P1,Frequent competitor / consortium peer in Middle East petrochemical and low-carbon projects. Official: https://www.samsungena.com/
organization,McDermott,McDermott International,competitor,P1,Competes in downstream/onshore complex project execution. Official: https://www.mcdermott.com/
organization,Lummus Technology,Lummus,competitor,P0,Strong overlap in petrochemicals/process technologies and licensing. Official: https://www.lummustechnology.com/
organization,Honeywell UOP,UOP; Honeywell UOP,competitor,P1,"Competes in refining, petrochemical and process technology packages. Official: https://uop.honeywell.com/"
organization,Topsoe,Haldor Topsoe; Topsoe A/S,competitor,P0,"Competes in hydrogen, ammonia, e-fuels and catalysis/technology licensing. Official: https://www.topsoe.com/"
organization,thyssenkrupp Uhde,Uhde; thyssenkrupp nucera; thyssenkrupp Industrial Solutions,competitor,P0,Competes in ammonia/fertilizers/hydrogen and plant engineering. Official: https://www.thyssenkrupp-industrial-solutions.com/
organization,Casale,Casale SA,competitor,P0,Strong overlap in ammonia/urea/nitrates and fertilizer licensing. Official: https://www.casale.ch/
organization,Johnson Matthey,JM; Johnson Matthey plc,competitor,P0,Competes in catalysts/process technology and was explicitly cited by the user. Official: https://matthey.com/
organization,Air Liquide Engineering & Construction,Air Liquide E&C,competitor,P1,Relevant in hydrogen/process plants and EPC-like engineered solutions. Official: https://www.airliquide.com/group/engineering-construction
organization,Shell Catalysts & Technologies,Shell C&T,competitor,P1,Competes in process technology/catalysts for refining and low-carbon fuels. Official: https://www.shell.com/business-customers/catalysts-technologies.html
organization,ADNOC,Abu Dhabi National Oil Company,client_target,P0,"Named MAIRE client on Hail & Ghasha, largest award in group history. Source: https://www.groupmaire.com/en/newsroom/press-releases/detail/maire-awarded-usd-87-billion-contract-by-adnoc-for-the-onshore-portion-of-the-hail-and-ghasha-development-project-in-abu-dhabi-the-largest-award-ever-for-the-group/"
organization,Saudi Aramco,Aramco; Saudi Arabian Oil Company,client_target,P0,Strategic account via SATORP JV and core regional refiner/petrochemical spender. Sources: https://www.groupmaire.com/en/newsroom/press-releases/detail/maire-awarded-two-petrochemical-contracts-worth-around-usd-2-billion-in-saudi-arabia/ | https://www.aramco.com/en/news-media/news
organization,TotalEnergies,Total; TotalEnergies SE,client_target,P0,Strategic account via SATORP JV and global downstream/low-carbon spend. Sources: https://www.groupmaire.com/en/newsroom/press-releases/detail/maire-awarded-two-petrochemical-contracts-worth-around-usd-2-billion-in-saudi-arabia/ | https://totalenergies.com/media/news
organization,SATORP,Saudi Aramco TotalEnergies Refining & Petrochemical Company,client_target,P0,Named operating client for Amiral EPC and later engineering/technology services. Sources: https://www.groupmaire.com/en/newsroom/press-releases/detail/maire-awarded-two-petrochemical-contracts-worth-around-usd-2-billion-in-saudi-arabia/ | https://www.groupmaire.com/en/newsroom/press-releases/detail/nextchem-maire-awarded-a-three-year-engineering-and-technology-services-contract-by-satorp-in-saudi-arabia-1/
organization,QatarEnergy,Qatar Petroleum,client_target,P0,Named client in Ras Laffan petrochemical complex JV. Source: https://www.groupmaire.com/en/newsroom/press-releases/detail/official-kick-off-epc-petrochemical-contract-2023/
organization,Chevron Phillips Chemical,CPChem; Chevron Phillips Chemical Company,client_target,P0,Named JV partner/client at Ras Laffan polymers complex. Source: https://www.groupmaire.com/en/newsroom/press-releases/detail/official-kick-off-epc-petrochemical-contract-2023/
organization,Transition Industries,Pacifico Mexinol developer,client_target,P0,Named low-carbon methanol client/developer on major NEXTCHEM award. Sources: https://www.groupmaire.com/en/newsroom/press-releases/detail/nextchem-maire-awarded-a-licensing-contract-by-transition-industries-for-a-21-million-tons-per-year-ultra-low-carbon-methanol-plant-in-mexico-based-on-its-proprietary-nx-adwinmethanol-zero-technology/ | https://www.groupmaire.com/en/newsroom/press-releases/detail/nextchem-maire-awarded-about-210-million-contract-for-the-basic-engineering-and-the-supply-of-critical-proprietary-equipment-for-the-pacifico-mexinol-ultra-low-carbon-methanol-project-in-mexico-based-on-its-nx-adwinmethanol-zero-technology/
organization,Covestro,Covestro AG,client_target,P1,Named EPC client in MAIRE financial results for aniline plant reference. Source: https://www.groupmaire.com/en/newsroom/press-releases/detail/q1-2022-consolidated-financial-results/
organization,KazMunayGas,KMG; NC KazMunayGas,client_target,P0,Strategic Caspian hydrocarbons/petrochemicals account; MAIRE/NextChem have active Kazakhstan references. Sources: https://www.groupmaire.com/en/newsroom/press-releases/detail/tecnimont-maire-attends-the-ground-breaking-ceremony-of-the-tengiz-gas-separation-complex-and-hosts-the-local-content-forum-in-kazakhstan/ | https://www.nextchem.com/en/newsroom/press-releases/detail/leveraging-on-its-proprietary-technologies-nextchem-signs-an-agreement-with-kazmunaygas-aero-to-cooperate-in-the-development-of-sustainable-aviation-fuel-saf-in-kazakhstan/
organization,KMGPetrochem,KMG PetroChem,client_target,P0,Named project company for Tengiz / Silleno petrochemical references in Kazakhstan. Source: https://www.groupmaire.com/en/newsroom/press-releases/detail/tecnimont-maire-attends-the-ground-breaking-ceremony-of-the-tengiz-gas-separation-complex-and-hosts-the-local-content-forum-in-kazakhstan/
organization,SOCAR,State Oil Company of Azerbaijan Republic,client_target,P1,Named historical petrochemical customer and strategic Caspian account. Source: https://www.groupmaire.com/en/newsroom/press-releases/detail/07-04-2015-new-project-awarded-by-socar-for-eur-350-million-petrochemical-plant-in-azerbaijan/
organization,SOCAR Polymer,SOCAR POLYMER,client_target,P1,Named polypropylene plant client in Azerbaijan; relevant polymers account. Source: https://www.groupmaire.com/en/newsroom/press-releases/detail/07-04-2015-new-project-awarded-by-socar-for-eur-350-million-petrochemical-plant-in-azerbaijan/
organization,Sonatrach,SONATRACH,client_target,P1,Priority North Africa / Algeria account aligned with current backlog contributions there. Sources: https://www.groupmaire.com/media/filer_public/20/c4/20c48d20-e2c9-4a9c-8f27-ce79ce50921b/202503_-_maire_company_profile_-_fy_2024_results.pdf | https://sonatrach.com/en/category/news/
organization,EuroChem,EuroChem Group AG,client_target,P2,Important historical fertilizer client and strong nitrogen adjacency. Sources: https://www.groupmaire.com/en/newsroom/press-releases/detail/maire-tecnimont-signs-urea-ammonia-plant-memorandum-with-eurochem/ | https://www.groupmaire.com/en/newsroom/press-releases/detail/11-06-2015-eurochem-signs-eur660-million-epc-contract-with-maire-tecnimont-for-new-ammonia-plant-in-russia/
organization,ANWIL,ANWIL S.A.,client_target,P2,Named fertilizer EPC reference in Poland / ORLEN orbit. Source: https://www.groupmaire.com/en/newsroom/press-releases/detail/new-epc-award-from-anwil-in-the-fertilizer-business-in-poland/
organization,ORLEN,ORLEN Group; PKN ORLEN,client_target,P1,Strategic CEE downstream/fertilizer account through ANWIL and large refining/chemicals spend. Source: https://www.groupmaire.com/en/newsroom/press-releases/detail/new-epc-award-from-anwil-in-the-fertilizer-business-in-poland/
organization,FertigHy,FertigHy SAS,client_target,P1,Named low-carbon fertilizer customer for green ammonia/nitric acid study. Source: https://www.stamicarbon.com/press-release/stamicarbon-maire-provide-nx-stamitm-green-ammonia-and-nx-stamitm-nitric-acid
organization,Fertiglobe,Fertiglobe plc,client_target,P0,"High-priority fertilizer/ammonia strategic target in MENA, strongly aligned with MAIRE nitrogen and low-carbon ammonia portfolio. Official: https://www.fertiglobe.com/newsroom/"
organization,OCI Global,OCI N.V.; OCI Global,client_target,P1,"High-priority fertilizer / methanol strategic target aligned with MAIRE ammonia, urea and low-carbon molecules portfolio. Official: https://www.oci-global.com/media/press-releases/"
organization,Shandong Lianmeng Chemical,Shandong Lianmeng; Shandong Lianmeng Chemical Group,client_target,P2,Named Chinese customer for Ultra-Low Energy urea licensing/equipment. Sources: https://www.groupmaire.com/en/newsroom/press-releases/detail/maires-nextchem-awarded-new-contracts-for-around-usd-60-million-in-the-sustainable-technology-solutions/ | https://www.stamicarbon.com/press-release/stamicarbon-nextchem-awarded-licensing-process-design-package-and-proprietary-0
organization,KuibyshevAzot,PJSC KuibyshevAzot,client_target,P2,Historical JV/reference in urea project development; useful long-tail fertilizer signal. Source: https://www.groupmaire.com/en/newsroom/press-releases/detail/20-07-2017-joint-venture-for-the-development-of-a-fertilizer-plant-in-the-russian-federation/
technology,NX Reform,NX Reform™,technology,P0,MAIRE/NextChem hydrogen production solution. Official: https://www.groupmaire.com/en/solutions/hydrogen-circular-carbon/
technology,NX CPO,NX CPO™,technology,P1,MAIRE hard-to-abate decarbonization / circular carbon solution. Official: https://www.groupmaire.com/en/solutions/hydrogen-circular-carbon/
technology,NX eBlue,NX eBlue™,technology,P0,Low-carbon hydrogen solution. Official: https://www.groupmaire.com/en/solutions/hydrogen-circular-carbon/
technology,NX SulphuRec,NX SulphuRec™,technology,P0,Sulphur recovery / purification solution tied to refining and gas treatment. Official: https://www.groupmaire.com/en/solutions/hydrogen-circular-carbon/
technology,NX Stami Ammonia,NX STAMI™ Ammonia,technology,P0,Core nitrogen/ammonia technology family. Official: https://www.nextchem.com/en/solutions/technologies/
technology,NX Stami Green Ammonia,Stami Green Ammonia; NX STAMI™ Green Ammonia,technology,P0,Flagship green ammonia technology. Sources: https://www.stamicarbon.com/news/stamicarbon-leaps-towards-sustainable-fertilizer-production-green-ammonia-technology | https://www.stamicarbon.com/press-release/stamicarbon-maire-group-awarded-450-mtpd-green-ammonia-plant-usa
technology,NX Stami Urea,NX STAMI™ Urea,technology,P0,Core urea licensing platform. Official: https://www.nextchem.com/en/solutions/technologies/
technology,NX Stami Nitrates,NX STAMI™ Nitrates,technology,P1,Nitrogen specialties / nitrate process technology. Official: https://www.nextchem.com/en/solutions/technologies/
technology,NX Stami Digital,NX STAMI™ Digital,technology,P1,Digital operations layer in fertilizer technologies. Official: https://www.nextchem.com/en/solutions/technologies/
technology,NX Decarb,NX Decarb™,technology,P0,Carbon-capture optimization solution. Sources: https://www.groupmaire.com/en/solutions/hydrogen-circular-carbon/ | https://www.groupmaire.com/en/newsroom/press-releases/detail/nextchem-maire-to-cooperate-on-energy-transition-initiatives-in-uzbekistan-leveraging-its-proprietary-nx-decarbtm-technology-and-the-groups-engineering-know-how/
technology,NX AdWinHydrogen,NX AdWinHydrogen®,technology,P0,Large-scale low-carbon hydrogen from natural gas with CO2 capture. Sources: https://www.groupmaire.com/en/solutions/hydrogen-circular-carbon/ | https://www.nextchem.com/en/newsroom/press-releases/detail/leveraging-on-its-proprietary-technologies-nextchem-signs-an-agreement-with-kazmunaygas-aero-to-cooperate-in-the-development-of-sustainable-aviation-fuel-saf-in-kazakhstan/
technology,NX AdWinMethanol,NX AdWinMethanol®,technology,P0,Methanol technology family within fuels & chemicals. Official: https://www.nextchem.com/en/solutions/technologies/
technology,NX AdWinMethanol Zero,NX AdWinMethanol® Zero,technology,P0,Ultra-low-carbon methanol technology tied to Pacifico Mexinol and RFNBO methanol. Source: https://www.groupmaire.com/en/newsroom/press-releases/detail/nextchem-maire-awarded-about-210-million-contract-for-the-basic-engineering-and-the-supply-of-critical-proprietary-equipment-for-the-pacifico-mexinol-ultra-low-carbon-methanol-project-in-mexico-based-on-its-nx-adwinmethanol-zero-technology/
technology,NX SAF BIO,NX SAF™ BIO,technology,P0,HEFA-based SAF technology. Sources: https://www.nextchem.com/en/solutions/technologies/nx-saf-bio/ | https://www.nextchem.com/en/newsroom/press-releases/detail/nextchem-awarded-the-licensing-and-process-design-package-for-a-sustainable-aviation-fuel-saf-project-based-on-its-proprietary-nx-ptu-and-nx-saf-bio-technologies-in-indonesia/
technology,NX PTU,NX PTU™,technology,P0,Pretreatment technology paired with NX SAF BIO. Sources: https://www.nextchem.com/en/solutions/technologies/nx-ptu/ | https://www.nextchem.com/en/newsroom/press-releases/detail/nextchem-awarded-the-licensing-and-process-design-package-for-a-sustainable-aviation-fuel-saf-project-based-on-its-proprietary-nx-ptu-and-nx-saf-bio-technologies-in-indonesia/
technology,NX Circular,NX Circular™,technology,P0,Waste-to-X / circular carbon platform. Sources: https://www.groupmaire.com/en/solutions/hydrogen-circular-carbon/ | https://www.groupmaire.com/en/solutions/fuels-chemicals/
technology,NX Replast,NX Replast™,technology,P0,Mechanical plastic upcycling technology deployed via MyReplast. Sources: https://www.nextchem.com/en/about-us/our-companies/ | https://www.nextchem.com/en/newsroom/press-releases/detail/nextchem-awarded-feasibility-studies-for-two-plastic-upcycling-projects-in-southern-africa-and-south-east-asia-based-on-its-nx-replast-technology/
technology,NX Re,NX Re™,technology,P1,Advanced polymers / virgin-like monomer route in NextChem polymers portfolio. Source: https://www.nextchem.com/en/solutions/polymers/
technology,Ultra-Low Energy Urea,ULE Design; Ultra-Low Energy Design,technology,P0,Stamicarbon's leading energy-efficient urea design. Sources: https://www.stamicarbon.com/launch-melt-ultra-low-energy-design | https://www.stamicarbon.com/press-release/stamicarbon-maire-group-signed-license-its-largest-ultra-low-energy-urea-plant
technology,Urea 2000Plus Pool Reactor,Urea 2000Plus®; Pool Reactor Design,technology,P1,Stamicarbon legacy high-efficiency urea design lineage. Source: https://www.groupmaire.com/en/newsroom/press-releases/detail/20-07-2017-joint-venture-for-the-development-of-a-fertilizer-plant-in-the-russian-federation/
technology,SAFUREX,Safurex®,technology,P1,Best-in-class stainless steel / equipment-enabling material within Stamicarbon Urea Launch portfolio. Source: https://www.stamicarbon.com/news/first-ultra-low-energy-reactor-ready-transport
technology,Nitrogen,Sustainable Fertilizers & Nitrogen-Based Fuels,solution_cluster,P1,Strategic MAIRE solution cluster and revenue pool. Source: https://www.groupmaire.com/en/about-us/sustainable-technology-solutions/
technology,Hydrogen & Circular Carbon,Low-Carbon Energy Vectors,solution_cluster,P1,Strategic MAIRE solution cluster. Sources: https://www.groupmaire.com/en/solutions/hydrogen-circular-carbon/ | https://www.groupmaire.com/en/about-us/sustainable-technology-solutions/
technology,Fuels & Chemicals,Fuels & Chemicals,solution_cluster,P1,Strategic MAIRE solution cluster. Source: https://www.groupmaire.com/en/solutions/fuels-chemicals/
technology,Polymers,Polymers,solution_cluster,P1,Strategic MAIRE solution cluster. Source: https://www.groupmaire.com/en/solutions/polymers/
geography,Middle East,MENA; Gulf,geography_priority,P0,Largest explicit commercial pipeline region for MAIRE and key backlog area. Source: https://www.groupmaire.com/media/filer_public/20/c4/20c48d20-e2c9-4a9c-8f27-ce79ce50921b/202503_-_maire_company_profile_-_fy_2024_results.pdf
geography,United Arab Emirates,UAE; Abu Dhabi,geography_priority,P0,"Critical execution and decarbonization geography (ADNOC, Hail & Ghasha, Borouge footprint). Sources: https://www.groupmaire.com/en/newsroom/press-releases/detail/maire-awarded-usd-87-billion-contract-by-adnoc-for-the-onshore-portion-of-the-hail-and-ghasha-development-project-in-abu-dhabi-the-largest-award-ever-for-the-group/ | https://www.groupmaire.com/en/newsroom/press-releases/detail/nextchem-opens-a-new-regional-office-in-abu-dhabi-to-advance-energy-transition-in-the-middle-east-with-its-portfolio-of-sustainable-technologies/"
geography,Saudi Arabia,KSA; Kingdom of Saudi Arabia,geography_priority,P0,Core EPC and services market through SATORP / Aramco / TotalEnergies references. Sources: https://www.groupmaire.com/en/newsroom/press-releases/detail/maire-awarded-two-petrochemical-contracts-worth-around-usd-2-billion-in-saudi-arabia/ | https://www.groupmaire.com/en/newsroom/press-releases/detail/nextchem-maire-awarded-a-three-year-engineering-and-technology-services-contract-by-satorp-in-saudi-arabia-1/
geography,Qatar,State of Qatar; Ras Laffan,geography_priority,P0,Priority petrochemicals/polyethylene market with live reference. Source: https://www.groupmaire.com/en/newsroom/press-releases/detail/official-kick-off-epc-petrochemical-contract-2023/
geography,Oman,Sultanate of Oman,geography_priority,P1,Named by MAIRE as strategic regional initiative area in Middle East footprint statement. Source: https://www.groupmaire.com/en/newsroom/press-releases/detail/nextchem-opens-a-new-regional-office-in-abu-dhabi-to-advance-energy-transition-in-the-middle-east-with-its-portfolio-of-sustainable-technologies/
geography,Africa,Africa,geography_priority,P0,"Material share of MAIRE commercial pipeline, with Algeria and West/Sub-Saharan fertilizers/circularity opportunities. Source: https://www.groupmaire.com/media/filer_public/20/c4/20c48d20-e2c9-4a9c-8f27-ce79ce50921b/202503_-_maire_company_profile_-_fy_2024_results.pdf"
geography,North Africa,North Africa,geography_priority,P0,Execution region tied to Algeria backlog and energy transition assets. Source: https://www.groupmaire.com/media/filer_public/20/c4/20c48d20-e2c9-4a9c-8f27-ce79ce50921b/202503_-_maire_company_profile_-_fy_2024_results.pdf
geography,Algeria,People's Democratic Republic of Algeria,geography_priority,P0,Explicit key project contribution geography in IE&CS backlog. Source: https://www.groupmaire.com/media/filer_public/20/c4/20c48d20-e2c9-4a9c-8f27-ce79ce50921b/202503_-_maire_company_profile_-_fy_2024_results.pdf
geography,West Africa,West Africa,geography_priority,P0,Very large recent NEXTCHEM nitrogen award and growth vector. Source: https://www.groupmaire.com/en/newsroom/press-releases/detail/nextchem-maire-awarded-485-million-contract-for-licensing-pdp-and-critical-proprietary-equipment-based-on-its-proprietary-hydrogen-ammonia-urea-and-methanol-technologies-for-three-world-scale-complexes-in-west-africa/
geography,Sub-Saharan Africa,Sub-Saharan Africa,geography_priority,P1,Named fertilizer licensing reference geography and growth zone. Source: https://www.groupmaire.com/en/newsroom/press-releases/detail/nextchem-holding-sts-business-unit-of-maire-group-subsidiary-stamicarbon-awarded-record-level-100-million-euro-licensing-and-proprietary-equipment-fertilizer-project-in-sub-saharan-africa/
geography,Caspian Area,Caspian,geography_priority,P0,Explicit MAIRE commercial pipeline geography. Source: https://www.groupmaire.com/media/filer_public/20/c4/20c48d20-e2c9-4a9c-8f27-ce79ce50921b/202503_-_maire_company_profile_-_fy_2024_results.pdf
geography,Kazakhstan,Republic of Kazakhstan,geography_priority,P0,Active project delivery and SAF cooperation geography. Sources: https://www.groupmaire.com/en/newsroom/press-releases/detail/tecnimont-maire-attends-the-ground-breaking-ceremony-of-the-tengiz-gas-separation-complex-and-hosts-the-local-content-forum-in-kazakhstan/ | https://www.nextchem.com/en/newsroom/press-releases/detail/leveraging-on-its-proprietary-technologies-nextchem-signs-an-agreement-with-kazmunaygas-aero-to-cooperate-in-the-development-of-sustainable-aviation-fuel-saf-in-kazakhstan/
geography,Azerbaijan,Republic of Azerbaijan,geography_priority,P1,Important Caspian petrochemical reference geography through SOCAR Polymer. Source: https://www.groupmaire.com/en/newsroom/press-releases/detail/07-04-2015-new-project-awarded-by-socar-for-eur-350-million-petrochemical-plant-in-azerbaijan/
geography,Europe,Europe,geography_priority,P1,"Relevant commercial pipeline region and corporate base; includes fertilizer, specialty chemicals and decarbonization opportunities. Source: https://www.groupmaire.com/media/filer_public/20/c4/20c48d20-e2c9-4a9c-8f27-ce79ce50921b/202503_-_maire_company_profile_-_fy_2024_results.pdf"
geography,North America,North America,geography_priority,P1,Strategic growth region for green fertilizers and methanol. Sources: https://www.groupmaire.com/en/newsroom/press-releases/detail/maire-awarded-early-engineering-works-for-a-green-fertilizer-complex-in-the-united-states/ | https://www.groupmaire.com/en/newsroom/press-releases/detail/nextchem-maire-awarded-a-licensing-contract-by-transition-industries-for-a-21-million-tons-per-year-ultra-low-carbon-methanol-plant-in-mexico-based-on-its-proprietary-nx-adwinmethanol-zero-technology/
geography,United States,USA; U.S.,geography_priority,P1,Priority for green fertilizers / low-carbon hydrogen / ammonia references. Sources: https://www.groupmaire.com/en/newsroom/press-releases/detail/maire-awarded-early-engineering-works-for-a-green-fertilizer-complex-in-the-united-states/ | https://www.stamicarbon.com/press-release/stamicarbon-maire-group-awarded-450-mtpd-green-ammonia-plant-usa
geography,Mexico,United Mexican States,geography_priority,P1,Priority for low-carbon methanol and low-carbon molecules through Pacifico Mexinol. Source: https://www.groupmaire.com/en/newsroom/press-releases/detail/nextchem-maire-awarded-about-210-million-contract-for-the-basic-engineering-and-the-supply-of-critical-proprietary-equipment-for-the-pacifico-mexinol-ultra-low-carbon-methanol-project-in-mexico-based-on-its-nx-adwinmethanol-zero-technology/
geography,China,PRC; People's Republic of China,geography_priority,P1,Named fertilizer technology market (ULE urea) and large petrochemical demand center. Sources: https://www.groupmaire.com/en/newsroom/press-releases/detail/maires-nextchem-awarded-new-contracts-for-around-usd-60-million-in-the-sustainable-technology-solutions/ | https://www.stamicarbon.com/press-release/stamicarbon-nextchem-awarded-licensing-process-design-package-and-proprietary-0
geography,Indonesia,Republic of Indonesia,geography_priority,P1,Named SAF deployment geography for NX PTU / NX SAF BIO. Sources: https://www.nextchem.com/en/newsroom/press-releases/detail/nextchem-awarded-the-licensing-and-process-design-package-for-a-sustainable-aviation-fuel-saf-project-based-on-its-proprietary-nx-ptu-and-nx-saf-bio-technologies-in-indonesia/ | https://www.nextchem.com/en/newsroom/press-releases/detail/nextchem-awarded-a-contract-for-early-engineering-works-and-proprietary-equipment-supply-for-a-saf-plant-in-indonesia-building-on-the-earlier-licensing-and-pdp-awards-and-leveraging-its-proprietary-nx-ptu-and-nx-saf-bio-technologies/
geography,Southern Africa,Southern Africa,geography_priority,P2,Named feasibility geography for NX Replast plastic upcycling. Source: https://www.nextchem.com/en/newsroom/press-releases/detail/nextchem-awarded-feasibility-studies-for-two-plastic-upcycling-projects-in-southern-africa-and-south-east-asia-based-on-its-nx-replast-technology/
geography,South-East Asia,Southeast Asia; SEA,geography_priority,P2,Named feasibility geography for NX Replast and SAF opportunity set. Source: https://www.nextchem.com/en/newsroom/press-releases/detail/nextchem-awarded-feasibility-studies-for-two-plastic-upcycling-projects-in-southern-africa-and-south-east-asia-based-on-its-nx-replast-technology/
geography,Italy,Italian Republic; Italia,geography_priority,P0,"Country-level geography for MAIRE corporate events and key competitor context (MAIRE, Saipem). Use as event country when the development is in Italy; do not treat Italy as the default geography for all globally operating Italian issuers."
geography,France,French Republic; France,geography_priority,P0,"Country-level geography for competitor/client intelligence (Technip Energies, TotalEnergies, Air Liquide). Use for France-specific developments, not as a proxy for global operations of French groups."
geography,United Kingdom,UK; Britain; Great Britain; Regno Unito,geography_priority,P1,"Country-level geography for competitor and technology watch (Wood, Johnson Matthey, Shell Catalysts & Technologies). Use when the development is UK-linked; do not collapse global activity into issuer domicile."
geography,Germany,Federal Republic of Germany; Deutschland; Germany,geography_priority,P1,"Country-level geography for technology/licensing and industrial client context (thyssenkrupp Uhde, Covestro). Relevant for Germany-specific announcements and execution footprints."
geography,Netherlands,The Netherlands; Holland; Nederland,geography_priority,P1,"Country-level geography for ammonia, methanol and fertilizer ecosystem tracking, including OCI-linked and port/logistics-adjacent developments. Use for Netherlands-specific events."
geography,Poland,Republic of Poland; Polska,geography_priority,P1,"Country-level geography for fertilizer and industrial client watchlist activity (ORLEN, ANWIL, FertigHy-adjacent ecosystem). Useful for plant, licensing and decarbonization developments in Poland."
geography,India,Republic of India; India,geography_priority,P1,"Large process-industry and licensing market relevant for fertilizer, petrochemicals and downstream technology adoption. Use for India-specific project, award and technology signals."
geography,Iraq,Republic of Iraq; Iraq,geography_priority,P1,"Country-level geography for Middle East refining, petrochemicals and reconstruction-linked industrial opportunities. Use when source content points to Iraq specifically rather than broad Gulf/Middle East context."
geography,Kuwait,State of Kuwait; Kuwait,geography_priority,P1,"Country-level geography for refining, petrochemicals and energy transition opportunities in the Gulf. Use for Kuwait-specific developments rather than broad regional references."
geography,Egypt,Arab Republic of Egypt; Egypt,geography_priority,P1,"Country-level geography for fertilizer, ammonia, methanol and energy-transition signals, including ecosystem adjacency with Fertiglobe/OCI-type developments. Use for Egypt-specific announcements."
geography,Morocco,Kingdom of Morocco; Morocco,geography_priority,P2,"Country-level geography for fertilizer, ammonia and industrial decarbonization developments in North Africa. Use when the event is explicitly Morocco-linked."
geography,Nigeria,Federal Republic of Nigeria; Nigeria,geography_priority,P1,"Country-level geography for West African gas, fertilizer and industrial project activity. Use for Nigeria-specific developments rather than generic West Africa references."
geography,Angola,Republic of Angola; Angola,geography_priority,P2,Country-level geography for Sub-Saharan energy and industrial project watch. Useful when developments are clearly Angola-specific rather than broader Southern/West Africa references.
geography,Brazil,Federative Republic of Brazil; Brasil,geography_priority,P1,"Country-level geography for low-carbon molecules, fertilizers and industrial decarbonization signals in Latin America. Use for Brazil-specific project and client developments."
geography,Australia,Commonwealth of Australia; Australia,geography_priority,P2,"Country-level geography for SAF, low-carbon fuels, hydrogen and industrial decarbonization opportunities. Use when Australia-specific developments matter more than broader APAC references."
